=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 28/03/2026 10:37:25
PLC: ZC_PLC_STD
Total Bloques: 150 | Total Tablas: 8 | Total UDTs: 91
=========================================================

=== BLOQUES (OB/FC/FB/DB) ===
[Nombre] _borrar                             | [Num] 59998 | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] FB15150_ZC_SEC_GET                  | [Num] 15150 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15152_ZC_PARO_SEC                 | [Num] 15152 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15153_ZC_MARCHA_SEC_BOMBAS_MEM    | [Num] 15153 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15154_ZC_DOSIF                    | [Num] 15154 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15155_ZC_DOSIF_SI70_GARRAFAS      | [Num] 15155 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15156_ZC_DOSIF_SI100_CARTEL       | [Num] 15156 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15159_ZC_CIP_DOSIF_PREP           | [Num] 15159 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15160_ZC_CIP_SOSA_LIMP            | [Num] 15160 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15161_ZC_CIP_SOSA_ENJ             | [Num] 15161 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15162_ZC_CIP_ACIDO_LIMP           | [Num] 15162 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15163_ZC_CIP_ACIDO_ENJ            | [Num] 15163 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15164_ZC_CIP_SOLO_ENJ             | [Num] 15164 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15165_ZC_CIP_DESINF_LIMP          | [Num] 15165 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15166_ZC_CIP_DESINF_ENJ           | [Num] 15166 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15167_ZC_CIP_ESTERIL              | [Num] 15167 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15168_ZC_CIP_AGUA_RECUP           | [Num] 15168 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15169_ZC_CIP_RECUP_RECHAZO        | [Num] 15169 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15175_ZC_COCINA_AD_PROD           | [Num] 15175 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15176_ZC_COCINA_AD_AGUA           | [Num] 15176 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15177_ZC_COCINA_CAL_ENF           | [Num] 15177 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15178_ZC_COCINA_HOMO              | [Num] 15178 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15179_ZC_COCINA_FIN_PREP          | [Num] 15179 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15180_ZC_FERM_AD_PROD             | [Num] 15180 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15181_ZC_FERM_HOMO                | [Num] 15181 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15182_ZC_FERM_ESPERA_PH           | [Num] 15182 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15183_ZC_FERM_CORTE               | [Num] 15183 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15184_ZC_FERM_FIN_PREP            | [Num] 15184 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
